Li7	1	0	172	neutronInelastic	141.935	459.934	1194.33	0.833779
gamma	1	0	172	neutronInelastic	141.935	459.934	1194.33	0.00331683
gamma	1	0	172	neutronInelastic	141.935	459.934	1194.33	0.00331683
alpha	1	0	42	neutronInelastic	223.672	614.486	1196.03	1.4722
gamma	1	0	42	neutronInelastic	223.672	614.486	1196.03	0.477602
Li7	1	0	42	neutronInelastic	223.672	614.486	1196.03	0.833518
gamma	1	0	42	neutronInelastic	223.672	614.486	1196.03	0.00359288
gamma	1	0	42	neutronInelastic	223.672	614.486	1196.03	0.00359288
alpha	1	0	95	neutronInelastic	-61.9046	396.241	1196.13	1.472
gamma	1	0	95	neutronInelastic	-61.9046	396.241	1196.13	0.477604
Li7	1	0	95	neutronInelastic	-61.9046	396.241	1196.13	0.833172
gamma	1	0	95	neutronInelastic	-61.9046	396.241	1196.13	0.00386387
gamma	1	0	95	neutronInelastic	-61.9046	396.241	1196.13	0.00386387
alpha	1	0	72	neutronInelastic	10.6373	261.037	1195.41	1.47243
gamma	1	0	72	neutronInelastic	10.6373	261.037	1195.41	0.47671
Li7	1	0	72	neutronInelastic	10.6373	261.037	1195.41	0.841366
proton	1	0	9	neutronInelastic	2323.25	-1403.81	2359.84	0.584317
C14	1	0	9	neutronInelastic	2323.25	-1403.81	2359.84	0.0420203
alpha	1	0	126	neutronInelastic	79.9217	566.362	1196.01	1.47216
gamma	1	0	126	neutronInelastic	79.9217	566.362	1196.01	0.477603
Li7	1	0	126	neutronInelastic	79.9217	566.362	1196.01	0.836776
gamma	1	0	126	neutronInelastic	79.9217	566.362	1196.01	0.00198569
gamma	1	0	126	neutronInelastic	79.9217	566.362	1196.01	0.00198569
alpha	1	0	185	neutronInelastic	-113.543	792.13	1196.85	1.47221
gamma	1	0	185	neutronInelastic	-113.543	792.13	1196.85	0.472589
Li7	1	0	185	neutronInelastic	-113.543	792.13	1196.85	0.845651
alpha	1	0	145	neutronInelastic	86.095	687.577	1196.84	1.47214
gamma	1	0	145	neutronInelastic	86.095	687.577	1196.84	0.477603
Li7	1	0	145	neutronInelastic	86.095	687.577	1196.84	0.834278
gamma	1	0	145	neutronInelastic	86.095	687.577	1196.84	0.00324562
gamma	1	0	145	neutronInelastic	86.095	687.577	1196.84	0.00324562
proton	1	0	12	neutronInelastic	479.035	88.4388	1749.89	0.584253
C14	1	0	12	neutronInelastic	479.035	88.4388	1749.89	0.0420849
proton	1	0	16	neutronInelastic	-206.97	1001.56	1944.33	0.5843
C14	1	0	16	neutronInelastic	-206.97	1001.56	1944.33	0.0420375
proton	1	0	50	neutronInelastic	157.592	501.78	1422.21	0.584233
C14	1	0	50	neutronInelastic	157.592	501.78	1422.21	0.0421047
proton	1	0	71	neutronInelastic	427.704	-2615.05	2265.07	0.584201
C14	1	0	71	neutronInelastic	427.704	-2615.05	2265.07	0.0421364
alpha	1	0	174	neutronInelastic	-55.123	668.443	1196.24	1.47257
gamma	1	0	174	neutronInelastic	-55.123	668.443	1196.24	0.472114
Li7	1	0	174	neutronInelastic	-55.123	668.443	1196.24	0.845751
alpha	1	0	90	neutronInelastic	253.584	411.193	1196.58	1.47267
gamma	1	0	90	neutronInelastic	253.584	411.193	1196.58	0.477601
Li7	1	0	90	neutronInelastic	253.584	411.193	1196.58	0.835424
gamma	1	0	90	neutronInelastic	253.584	411.193	1196.58	0.00240594
gamma	1	0	90	neutronInelastic	253.584	411.193	1196.58	0.00240594
alpha	1	0	101	neutronInelastic	-37.6319	450.081	1192.12	1.47219
gamma	1	0	101	neutronInelastic	-37.6319	450.081	1192.12	0.477603
Li7	1	0	101	neutronInelastic	-37.6319	450.081	1192.12	0.834753
gamma	1	0	101	neutronInelastic	-37.6319	450.081	1192.12	0.00298346
gamma	1	0	101	neutronInelastic	-37.6319	450.081	1192.12	0.00298346
alpha	1	0	60	neutronInelastic	-31.5717	494.216	1196.86	1.77677
Li7	1	0	60	neutronInelastic	-31.5717	494.216	1196.86	1.01335
proton	1	0	39	neutronInelastic	254.799	597.129	1485.35	0.584307
C14	1	0	39	neutronInelastic	254.799	597.129	1485.35	0.0420305
proton	1	0	22	neutronInelastic	-379.718	811.894	2159.46	0.58423
C14	1	0	22	neutronInelastic	-379.718	811.894	2159.46	0.0421081
alpha	1	0	283	neutronInelastic	-238.993	353.681	1195.05	1.47253
gamma	1	0	283	neutronInelastic	-238.993	353.681	1195.05	0.477601
Li7	1	0	283	neutronInelastic	-238.993	353.681	1195.05	0.834371
gamma	1	0	283	neutronInelastic	-238.993	353.681	1195.05	0.00300289
gamma	1	0	283	neutronInelastic	-238.993	353.681	1195.05	0.00300289
proton	1	0	8	neutronInelastic	1063.11	218.622	2645.83	0.584272
C14	1	0	8	neutronInelastic	1063.11	218.622	2645.83	0.0420657
alpha	1	0	98	neutronInelastic	-110.893	591.368	1195.23	1.4723
gamma	1	0	98	neutronInelastic	-110.893	591.368	1195.23	0.477602
Li7	1	0	98	neutronInelastic	-110.893	591.368	1195.23	0.834304
gamma	1	0	98	neutronInelastic	-110.893	591.368	1195.23	0.00314902
gamma	1	0	98	neutronInelastic	-110.893	591.368	1195.23	0.00314902
proton	1	0	15	neutronInelastic	394.812	506.286	1403.04	0.584241
C14	1	0	15	neutronInelastic	394.812	506.286	1403.04	0.0420967
proton	1	0	20	neutronInelastic	-2413.53	-237.627	2999.69	0.584324
C14	1	0	20	neutronInelastic	-2413.53	-237.627	2999.69	0.0420135
proton	1	0	21	neutronInelastic	-236.152	582.345	1379.04	0.584255
C14	1	0	21	neutronInelastic	-236.152	582.345	1379.04	0.0420827
alpha	1	0	87	neutronInelastic	-244.028	589.704	1190.17	1.47246
gamma	1	0	87	neutronInelastic	-244.028	589.704	1190.17	0.477602
Li7	1	0	87	neutronInelastic	-244.028	589.704	1190.17	0.833878
gamma	1	0	87	neutronInelastic	-244.028	589.704	1190.17	0.00328433
gamma	1	0	87	neutronInelastic	-244.028	589.704	1190.17	0.00328433
proton	1	0	14	neutronInelastic	-596.149	913.954	2180.22	0.58434
C14	1	0	14	neutronInelastic	-596.149	913.954	2180.22	0.0419979
alpha	1	0	201	neutronInelastic	-146.69	480.413	1194.44	1.47189
gamma	1	0	201	neutronInelastic	-146.69	480.413	1194.44	0.477604
Li7	1	0	201	neutronInelastic	-146.69	480.413	1194.44	0.835596
gamma	1	0	201	neutronInelastic	-146.69	480.413	1194.44	0.00271153
gamma	1	0	201	neutronInelastic	-146.69	480.413	1194.44	0.00271153
alpha	1	0	175	neutronInelastic	-82.8743	411.189	1195.83	1.47211
gamma	1	0	175	neutronInelastic	-82.8743	411.189	1195.83	0.477441
Li7	1	0	175	neutronInelastic	-82.8743	411.189	1195.83	0.840952
alpha	1	0	116	neutronInelastic	146.837	264.8	1195.7	1.47207
gamma	1	0	116	neutronInelastic	146.837	264.8	1195.7	0.474966
Li7	1	0	116	neutronInelastic	146.837	264.8	1195.7	0.843456
proton	1	0	31	neutronInelastic	-63.7673	-1191.7	2266.77	0.584257
C14	1	0	31	neutronInelastic	-63.7673	-1191.7	2266.77	0.0420809
alpha	1	0	138	neutronInelastic	-66.3809	642.961	1194.53	1.47215
gamma	1	0	138	neutronInelastic	-66.3809	642.961	1194.53	0.47222
Li7	1	0	138	neutronInelastic	-66.3809	642.961	1194.53	0.846069
alpha	1	0	87	neutronInelastic	-69.1752	324.786	1196.18	1.47251
gamma	1	0	87	neutronInelastic	-69.1752	324.786	1196.18	0.476406
Li7	1	0	87	neutronInelastic	-69.1752	324.786	1196.18	0.841591
alpha	1	0	128	neutronInelastic	15.2607	626.327	1196.92	1.47252
gamma	1	0	128	neutronInelastic	15.2607	626.327	1196.92	0.475231
Li7	1	0	128	neutronInelastic	15.2607	626.327	1196.92	0.842741
proton	1	0	20	neutronInelastic	712.441	-74.0193	2915.94	0.584307
C14	1	0	20	neutronInelastic	712.441	-74.0193	2915.94	0.0420312
alpha	1	0	126	neutronInelastic	115.779	279.5	1195.5	1.4726
gamma	1	0	126	neutronInelastic	115.779	279.5	1195.5	0.473337
Li7	1	0	126	neutronInelastic	115.779	279.5	1195.5	0.844529
proton	1	0	12	neutronInelastic	243.361	997.859	1704.51	0.584309
C14	1	0	12	neutronInelastic	243.361	997.859	1704.51	0.0420289
alpha	1	0	66	neutronInelastic	-61.7263	559.436	1194.53	1.4721
gamma	1	0	66	neutronInelastic	-61.7263	559.436	1194.53	0.477601
Li7	1	0	66	neutronInelastic	-61.7263	559.436	1194.53	0.836425
gamma	1	0	66	neutronInelastic	-61.7263	559.436	1194.53	0.00219146
gamma	1	0	66	neutronInelastic	-61.7263	559.436	1194.53	0.00219146
alpha	1	0	49	neutronInelastic	-89.0141	274.125	1196.71	1.47247
gamma	1	0	49	neutronInelastic	-89.0141	274.125	1196.71	0.477602
Li7	1	0	49	neutronInelastic	-89.0141	274.125	1196.71	0.835067
gamma	1	0	49	neutronInelastic	-89.0141	274.125	1196.71	0.00268668
gamma	1	0	49	neutronInelastic	-89.0141	274.125	1196.71	0.00268668
proton	1	0	14	neutronInelastic	64.1354	343.302	1624.12	0.584236
C14	1	0	14	neutronInelastic	64.1354	343.302	1624.12	0.0421021
alpha	1	0	22	neutronInelastic	-276.534	501.615	1194.72	1.47239
gamma	1	0	22	neutronInelastic	-276.534	501.615	1194.72	0.470507
Li7	1	0	22	neutronInelastic	-276.534	501.615	1194.72	0.847496
alpha	1	0	180	neutronInelastic	57.7056	351.235	1196.83	1.77666
Li7	1	0	180	neutronInelastic	57.7056	351.235	1196.83	1.01346
proton	1	0	46	neutronInelastic	1.6733	-1151.48	2792.59	0.584296
C14	1	0	46	neutronInelastic	1.6733	-1151.48	2792.59	0.0420423
alpha	1	0	174	neutronInelastic	-89.1924	419.857	1195.36	1.4725
gamma	1	0	174	neutronInelastic	-89.1924	419.857	1195.36	0.4776
Li7	1	0	174	neutronInelastic	-89.1924	419.857	1195.36	0.836896
gamma	1	0	174	neutronInelastic	-89.1924	419.857	1195.36	0.00175451
gamma	1	0	174	neutronInelastic	-89.1924	419.857	1195.36	0.00175451
alpha	1	0	95	neutronInelastic	0.572046	468.724	1196.89	1.4724
gamma	1	0	95	neutronInelastic	0.572046	468.724	1196.89	0.47607
Li7	1	0	95	neutronInelastic	0.572046	468.724	1196.89	0.84203
proton	1	0	10	neutronInelastic	-464.096	-617.045	2381.81	0.584307
C14	1	0	10	neutronInelastic	-464.096	-617.045	2381.81	0.0420311
alpha	1	0	88	neutronInelastic	-21.5418	556.819	1183.41	1.47295
gamma	1	0	88	neutronInelastic	-21.5418	556.819	1183.41	0.477601
Li7	1	0	88	neutronInelastic	-21.5418	556.819	1183.41	0.836992
gamma	1	0	88	neutronInelastic	-21.5418	556.819	1183.41	0.00148383
gamma	1	0	88	neutronInelastic	-21.5418	556.819	1183.41	0.00148383
alpha	1	0	194	neutronInelastic	72.3234	411.943	1197.05	1.47221
gamma	1	0	194	neutronInelastic	72.3234	411.943	1197.05	0.477603
Li7	1	0	194	neutronInelastic	72.3234	411.943	1197.05	0.832608
gamma	1	0	194	neutronInelastic	72.3234	411.943	1197.05	0.00404311
gamma	1	0	194	neutronInelastic	72.3234	411.943	1197.05	0.00404311
alpha	1	0	254	neutronInelastic	32.44	485.476	1196.57	1.47205
gamma	1	0	254	neutronInelastic	32.44	485.476	1196.57	0.477603
Li7	1	0	254	neutronInelastic	32.44	485.476	1196.57	0.834348
gamma	1	0	254	neutronInelastic	32.44	485.476	1196.57	0.00325372
gamma	1	0	254	neutronInelastic	32.44	485.476	1196.57	0.00325372
alpha	1	0	184	neutronInelastic	3.0089	280.691	1196.77	1.47261
gamma	1	0	184	neutronInelastic	3.0089	280.691	1196.77	0.477603
Li7	1	0	184	neutronInelastic	3.0089	280.691	1196.77	0.839753
alpha	1	0	52	neutronInelastic	38.7378	407.478	1196.48	1.47264
gamma	1	0	52	neutronInelastic	38.7378	407.478	1196.48	0.477601
Li7	1	0	52	neutronInelastic	38.7378	407.478	1196.48	0.837565
gamma	1	0	52	neutronInelastic	38.7378	407.478	1196.48	0.0013525
gamma	1	0	52	neutronInelastic	38.7378	407.478	1196.48	0.0013525
proton	1	0	17	neutronInelastic	-855.899	715.285	2252.86	0.584312
C14	1	0	17	neutronInelastic	-855.899	715.285	2252.86	0.0420255
alpha	1	0	161	neutronInelastic	30.0514	462.102	1196.55	1.47228
gamma	1	0	161	neutronInelastic	30.0514	462.102	1196.55	0.472399
Li7	1	0	161	neutronInelastic	30.0514	462.102	1196.55	0.845765
alpha	1	0	91	neutronInelastic	210.772	414.393	1192.44	1.47223
gamma	1	0	91	neutronInelastic	210.772	414.393	1192.44	0.477602
Li7	1	0	91	neutronInelastic	210.772	414.393	1192.44	0.83287
gamma	1	0	91	neutronInelastic	210.772	414.393	1192.44	0.00390474
gamma	1	0	91	neutronInelastic	210.772	414.393	1192.44	0.00390474
proton	1	0	15	neutronInelastic	-470.075	1491.95	2525.73	0.584282
C14	1	0	15	neutronInelastic	-470.075	1491.95	2525.73	0.0420557
proton	1	0	39	neutronInelastic	135.475	509.826	2695.42	0.584272
C14	1	0	39	neutronInelastic	135.475	509.826	2695.42	0.0420653
alpha	1	0	185	neutronInelastic	63.0189	781.686	1183.48	1.4724
gamma	1	0	185	neutronInelastic	63.0189	781.686	1183.48	0.470503
Li7	1	0	185	neutronInelastic	63.0189	781.686	1183.48	0.84749
proton	1	0	29	neutronInelastic	349.897	221.407	1607.69	0.584227
C14	1	0	29	neutronInelastic	349.897	221.407	1607.69	0.042111
proton	1	0	87	neutronInelastic	605.93	-325.842	2146.81	0.584259
C14	1	0	87	neutronInelastic	605.93	-325.842	2146.81	0.0420788
alpha	1	0	88	neutronInelastic	69.7286	431.565	1196.59	1.47247
gamma	1	0	88	neutronInelastic	69.7286	431.565	1196.59	0.477601
Li7	1	0	88	neutronInelastic	69.7286	431.565	1196.59	0.836921
gamma	1	0	88	neutronInelastic	69.7286	431.565	1196.59	0.0017557
gamma	1	0	88	neutronInelastic	69.7286	431.565	1196.59	0.0017557
proton	1	0	38	neutronInelastic	240.134	742.033	2309.48	0.584327
C14	1	0	38	neutronInelastic	240.134	742.033	2309.48	0.0420109
proton	1	0	6	neutronInelastic	-239.377	476.883	1484.76	0.58428
C14	1	0	6	neutronInelastic	-239.377	476.883	1484.76	0.042058
proton	1	0	17	neutronInelastic	56.2147	-904.595	2387.51	0.584349
C14	1	0	17	neutronInelastic	56.2147	-904.595	2387.51	0.041989
